id;amount;transaction_type;transaction_date;description
1;3439;CREDIT;2024-07-05T11:21:40;unto beside blah
2;6067;CREDIT;2024-07-05T17:59:43;oof nor boo
3;28661;DEBIT;2024-07-05T09:51:44;junior
4;810;CREDIT;2024-07-05T14:31:58;whose disguised
5;19654;DEBIT;2024-07-05T18:35:13;given
6;22048;CREDIT;2024-07-05T21:04:52;what teletype useless
7;3864;DEBIT;2024-07-06T07:20:23;upward lest joyously
8;5210;CREDIT;2024-07-05T14:14:38;blossom yahoo though
9;30793;CREDIT;2024-07-05T11:29:25;frown
10;13999;DEBIT;2024-07-05T11:44:48;er finally
